Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1962,7,1.055,,0.738,-0.006,0.031,-0.676,,,,1.414,,,0.720,6.030,-0.896,0
1962,8,1.147,,0.729,-0.015,0.016,-0.697,,,,1.426,,,0.410,5.860,-1.048,0
1962,9,1.177,,0.695,-0.045,-0.012,-0.719,,,,1.414,,,0.340,5.860,-1.139,0
1962,10,1.269,,0.735,0.007,0.037,-0.664,,,,1.399,,,0.390,5.800,-1.109,0
1962,11,1.269,,0.702,-0.006,0.016,-0.670,,,,1.372,,,0.390,5.900,-1.017,0
1962,12,1.604,,0.662,-0.076,-0.045,-0.752,,,,1.414,,,0.320,5.700,-1.505,0
1963,1,1.360,,0.653,-0.134,-0.076,-0.801,,,,1.454,,,0.460,5.750,-1.444,0
1963,2,0.964,,0.543,-0.210,-0.173,-0.893,,,,1.436,,,0.400,6.050,-1.383,0
1963,3,1.269,,0.650,-0.100,-0.057,-0.768,,,,1.417,,,0.500,5.950,-1.139,0
1963,4,1.177,,0.650,-0.082,-0.042,-0.734,,,,1.384,,,0.580,5.970,-1.505,0
1963,5,1.086,,0.635,-0.091,-0.057,-0.752,,,,1.387,,,0.380,5.860,-1.261,0
1963,6,1.147,,0.686,-0.042,-0.009,-0.707,,,,1.393,,,0.550,5.950,-1.048,0
1963,7,1.147,,0.680,-0.021,-0.002,-0.685,,,,1.366,,,0.540,5.960,-0.896,0
1963,8,1.055,,0.677,-0.033,-0.009,-0.697,,,,1.375,,,0.630,5.960,-1.017,0
1963,9,1.238,,0.692,-0.042,-0.015,-0.719,,,,1.411,,,0.400,5.920,-0.987,0
1963,10,1.238,,0.692,-0.063,-0.036,-0.764,,,,1.457,,,0.360,5.840,-1.139,0
1963,11,2.213,,0.769,0.022,0.058,-0.655,,,,1.423,,,0.390,5.900,-1.231,0
1963,12,1.238,,0.638,-0.155,-0.094,-0.822,,,,1.460,,,0.460,5.900,-1.444,0
1964,1,1.269,,0.662,-0.100,-0.045,-0.752,,,,1.414,,,0.270,5.860,-1.231,0
1964,2,1.147,,0.586,-0.161,-0.112,-0.813,,,,1.399,,,0.360,6.070,-1.353,0
1964,3,1.177,,0.635,-0.100,-0.057,-0.752,,,,1.387,,,0.470,6.000,-1.261,0
1964,4,1.025,,0.522,-0.179,-0.155,-0.835,,,,1.356,,,0.550,5.910,-1.261,0
1964,5,1.177,,0.622,-0.088,-0.051,-0.722,,,,1.344,,,0.400,5.790,-1.048,0
